location_id,datetime,total_duration_above_threshold,time_of_day,week,date_utc,microclimate2
BEEBOX,2024-07-06T09:30:00Z,0,02:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T10:00:00Z,0,03:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T10:30:00Z,0,03:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T11:00:00Z,0,04:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T11:30:00Z,0,04:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T12:00:00Z,0,05:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T12:30:00Z,3.15,05:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T13:00:00Z,0,06:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T13:30:00Z,2.25,06:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T14:00:00Z,0,07:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T14:30:00Z,0,07:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T15:00:00Z,0,08:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T15:30:00Z,0,08:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T16:00:00Z,0,09:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T16:30:00Z,0,09:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T17:00:00Z,0,10:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T17:30:00Z,2.6999999999999997,10:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T18:00:00Z,1.5,11:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T18:30:00Z,4.5,11:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T19:00:00Z,0,12:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T19:30:00Z,4.35,12:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T20:00:00Z,2.25,13:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T20:30:00Z,1.35,13:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
